17316	0.000000
25260	0.000000
61147	0.003360
16850	0.007119
12511	0.007354
42545	0.007354
54103	0.007995
54106	0.007995
8529	0.008115
13536	0.008143
27953	0.008928
49616	0.009165
21226	0.009220
46182	0.009220
21576	0.009446
61063	0.009683
14990	0.009798
43171	0.009862
54100	0.010130
38438	0.010306
10290	0.010322
13098	0.010322
7677	0.010322
20388	0.010331
61578	0.010485
50669	0.010615
26768	0.011045
49529	0.011045
60602	0.011062
42690	0.011115
55659	0.011175
14760	0.011254
11128	0.011394
8204	0.011442
9245	0.011442
7890	0.011525
8411	0.011606
15799	0.011703
52001	0.011878
27758	0.011898
60726	0.011905
9025	0.011916
36821	0.012103
35889	0.012164
60975	0.012507
28951	0.012659
10158	0.012670
12212	0.012685
57358	0.012685
60898	0.012685
15885	0.012754
33451	0.012847
8004	0.012861
60121	0.012930
14335	0.012986
61289	0.012986
61422	0.013038
43144	0.013105
44934	0.013112
61624	0.013157
61402	0.013164
42600	0.013200
61401	0.013265
11236	0.013429
52449	0.013432
52511	0.013469
7703	0.013513
7706	0.013513
12749	0.013620
60976	0.013631
13457	0.013655
27782	0.013655
36912	0.013655
16242	0.013720
54408	0.013826
9749	0.013882
12576	0.013904
13736	0.014013
19176	0.014333
7685	0.014334
11586	0.014378
60724	0.014378
61038	0.014378
15850	0.014423
61580	0.014447
46712	0.014462
125393	0.014474
31934	0.014516
47727	0.014540
14215	0.014578
16238	0.014763
13376	0.014767
14479	0.014774
60630	0.014835
49289	0.014917
11872	0.014931
48424	0.014990
43111	0.015030
16189	0.015038
16484	0.015130
57818	0.015168
61488	0.015171
35997	0.015206
44630	0.015246
43106	0.015430
29110	0.015475
44519	0.015487
43135	0.015554
61498	0.015592
55744	0.015609
42652	0.015639
12912	0.015640
17093	0.015644
60123	0.015649
38467	0.015686
60791	0.015689
49140	0.015693
60481	0.015785
61052	0.015793
61397	0.015796
42876	0.015828
10244	0.015861
60250	0.015868
52893	0.015880
61150	0.015998
54271	0.016025
39521	0.016036
61394	0.016055
48020	0.016069
16348	0.016070
8758	0.016077
8532	0.016149
22048	0.016175
52898	0.016204
60636	0.016209
16719	0.016226
32709	0.016236
30348	0.016256
61462	0.016417
23148	0.016421
60938	0.016446
53043	0.016447
60132	0.016461
61111	0.016462
7499	0.016462
16816	0.016481
61185	0.016481
16135	0.016521
42094	0.016525
44449	0.016538
14716	0.016561
24420	0.016622
35980	0.016705
13906	0.016708
31809	0.016712
11270	0.016725
15683	0.016725
15421	0.016736
39968	0.016752
55362	0.016759
43008	0.016773
53259	0.016791
54314	0.016802
16441	0.016819
12478	0.016890
24347	0.016904
35978	0.016909
21166	0.016945
46494	0.017022
13269	0.017037
37560	0.017042
138102	0.017070
60761	0.017070
84649	0.017123
9528	0.017142
37700	0.017152
137382	0.017167
48520	0.017172
60146	0.017184
60875	0.017184
7871	0.017209
36637	0.017230
40454	0.017233
7152	0.017239
59199	0.017243
50330	0.017271
57708	0.017274
21345	0.017288
30084	0.017288
16987	0.017288
15898	0.017328
27853	0.017333
19840	0.017345
52882	0.017364
22335	0.017369
47258	0.017372
56969	0.017377
10820	0.017398
36833	0.017436
50373	0.017436
12096	0.017452
16682	0.017460
60837	0.017464
16319	0.017481
36306	0.017500
38493	0.017537
33916	0.017542
60659	0.017566
14386	0.017595
85307	0.017610
60332	0.017617
11209	0.017618
41962	0.017660
31195	0.017662
54026	0.017667
53672	0.017715
61033	0.017733
61106	0.017733
61161	0.017740
60246	0.017770
61273	0.017778
54098	0.017794
35501	0.017811
19081	0.017812
45292	0.017825
32392	0.017832
60498	0.017844
52394	0.017848
15864	0.017873
46852	0.017892
31226	0.017894
61064	0.017899
15853	0.017899
61388	0.017907
39651	0.017923
43001	0.017952
9389	0.017964
22444	0.017973
23717	0.017973
6913	0.017973
60534	0.017977
49547	0.017983
54833	0.017985
61320	0.017996
11585	0.018030
27960	0.018037
59021	0.018037
27257	0.018038
10721	0.018047
8767	0.018071
8817	0.018088
52405	0.018092
22646	0.018103
26337	0.018104
36516	0.018105
60878	0.018116
60179	0.018140
27436	0.018150
16986	0.018159
34769	0.018159
53930	0.018160
42359	0.018163
61058	0.018178
27678	0.018193
20112	0.018197
31653	0.018197
34573	0.018201
10496	0.018209
46362	0.018231
60365	0.018250
43200	0.018253
23371	0.018298
14957	0.018299
22504	0.018303
11291	0.018309
36183	0.018319
22140	0.018327
19794	0.018340
61434	0.018342
17477	0.018346
17339	0.018375
42505	0.018409
21988	0.018423
51728	0.018433
