# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	47	132	5.41561683247e-18	5.38312313148e-15
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	38	91	1.65390525562e-17	1.64398182409e-14
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	37	90	8.2445071893e-17	8.19504014616e-14
R-HSA-72689	Formation of a pool of free 40S subunits	32	81	3.97591926301e-14	3.95206374743e-11
R-HSA-379716	Cytosolic tRNA aminoacylation	17	24	1.59761240923e-13	1.58802673477e-10
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	30	75	1.69977259039e-13	1.68957395484e-10
R-HSA-156902	Peptide chain elongation	28	68	4.6567389623e-13	4.62879852853e-10
R-HSA-192823	Viral mRNA Translation	28	69	7.19812641492e-13	7.15493765643e-10
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	33	95	1.15468874853e-12	1.14776061604e-09
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	30	81	1.83852132679e-12	1.82749019883e-09
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	20	37	1.95961816331e-12	1.94786045433e-09
R-HSA-72764	Eukaryotic Translation Termination	28	72	2.51167347352e-12	2.49660343268e-09
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	31	91	1.0102677501e-11	1.0042061436e-08
R-HSA-2408557	Selenocysteine synthesis	27	73	2.47716367962e-11	2.46230069754e-08
R-HSA-2408522	Selenoamino acid metabolism	10	11	2.44073550921e-10	2.42609109616e-07
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	16	34	4.73334644212e-09	4.70494636347e-06
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	15	32	1.54812101956e-08	1.53883229344e-05
R-HSA-69481	G2/M Checkpoints	15	32	1.54812101956e-08	1.53883229344e-05
R-HSA-9907900	Proteasome assembly	19	51	1.98150737008e-08	1.96961832586e-05
R-HSA-5362768	Hh mutants are degraded by ERAD	16	37	2.15160311762e-08	2.13869349892e-05
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	15	33	2.61116970435e-08	2.59550268613e-05
R-HSA-382556	ABC-family proteins mediated transport	21	63	3.50083685907e-08	3.47983183791e-05
R-HSA-5678895	Defective CFTR causes cystic fibrosis	17	43	3.94368227855e-08	3.92002018488e-05
R-HSA-1236974	ER-Phagosome pathway	22	69	4.14454779234e-08	4.11968050558e-05
R-HSA-5658442	Regulation of RAS by GAPs	18	48	4.16177850304e-08	4.13680783202e-05
