# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	47	132	5.41561683247e-18	5.38312313148e-15
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	38	91	1.65390525562e-17	8.21990912045e-15
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	37	90	8.2445071893e-17	2.73168004872e-14
R-HSA-72689	Formation of a pool of free 40S subunits	32	81	3.97591926301e-14	9.88015936857e-12
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	30	75	1.69977259039e-13	2.81595659141e-11
R-HSA-379716	Cytosolic tRNA aminoacylation	17	24	1.59761240923e-13	2.81595659141e-11
R-HSA-156902	Peptide chain elongation	28	68	4.6567389623e-13	6.61256932647e-11
R-HSA-192823	Viral mRNA Translation	28	69	7.19812641492e-13	8.94367207053e-11
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	33	95	1.15468874853e-12	1.27528957338e-10
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	20	37	1.95961816331e-12	1.77078223121e-10
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	30	81	1.83852132679e-12	1.77078223121e-10
R-HSA-72764	Eukaryotic Translation Termination	28	72	2.51167347352e-12	2.08050286057e-10
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	31	91	1.0102677501e-11	7.72466264309e-10
R-HSA-2408557	Selenocysteine synthesis	27	73	2.47716367962e-11	1.75878621253e-09
R-HSA-2408522	Selenoamino acid metabolism	10	11	2.44073550921e-10	1.6173940641e-08
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	16	34	4.73334644212e-09	2.94059147717e-07
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	15	32	1.54812101956e-08	8.5490682969e-07
R-HSA-69481	G2/M Checkpoints	15	32	1.54812101956e-08	8.5490682969e-07
R-HSA-9907900	Proteasome assembly	19	51	1.98150737008e-08	1.03664122413e-06
R-HSA-5362768	Hh mutants are degraded by ERAD	16	37	2.15160311762e-08	1.06934674946e-06
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	15	33	2.61116970435e-08	1.23595366006e-06
R-HSA-180534	Vpu mediated degradation of CD4	15	34	4.29893422552e-08	1.52612165006e-06
R-HSA-5678895	Defective CFTR causes cystic fibrosis	17	43	3.94368227855e-08	1.52612165006e-06
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	15	34	4.29893422552e-08	1.52612165006e-06
R-HSA-1236974	ER-Phagosome pathway	22	69	4.14454779234e-08	1.52612165006e-06
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	15	34	4.29893422552e-08	1.52612165006e-06
R-HSA-382556	ABC-family proteins mediated transport	21	63	3.50083685907e-08	1.52612165006e-06
R-HSA-5658442	Regulation of RAS by GAPs	18	48	4.16177850304e-08	1.52612165006e-06
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	19	54	5.83479253692e-08	1.99992544196e-06
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	15	35	6.92167202444e-08	2.21940064268e-06
R-HSA-180585	Vif-mediated degradation of APOBEC3G	15	35	6.92167202444e-08	2.21940064268e-06
R-HSA-5358346	Hedgehog ligand biogenesis	16	40	8.17382147076e-08	2.53899329436e-06
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	15	36	1.09173774707e-07	3.19172741348e-06
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	15	36	1.09173774707e-07	3.19172741348e-06
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	16	41	1.2330923225e-07	3.5019821959e-06
