# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-3371571	HSF1-dependent transactivation	4	18	0.00317139172835	0.0309820576539
R-HSA-9035034	RHOF GTPase cycle	6	42	0.00334592367584	0.0318699230124
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	6	42	0.00334592367584	0.0318699230124
R-HSA-9755511	KEAP1-NFE2L2 pathway	7	56	0.00339529401985	0.0319409141127
R-HSA-6798695	Neutrophil degranulation	27	438	0.00344560393055	0.0320189048181
R-HSA-5673000	RAF activation	5	30	0.00369133072425	0.0334856429986
R-HSA-352238	Breakdown of the nuclear lamina	2	3	0.00365296222939	0.0334856429986
R-HSA-6802952	Signaling by BRAF and RAF1 fusions	7	58	0.00414512888909	0.0371598613351
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	3	10	0.00437001516944	0.0387203669665
R-HSA-5607764	CLEC7A (Dectin-1) signaling	7	59	0.0045640174151	0.0399744973598
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	6	45	0.00475462710969	0.0407081557032
R-HSA-4608870	Asymmetric localization of PCP proteins	6	45	0.00475462710969	0.0407081557032
R-HSA-446107	Type I hemidesmosome assembly	3	11	0.00585270646746	0.0455077788592
R-HSA-2408522	Selenoamino acid metabolism	3	11	0.00585270646746	0.0455077788592
R-HSA-446353	Cell-extracellular matrix interactions	3	11	0.00585270646746	0.0455077788592
R-HSA-8939211	ESR-mediated signaling	3	11	0.00585270646746	0.0455077788592
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	4	21	0.00570546962304	0.0455077788592
R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	5	33	0.00563836234011	0.0455077788592
R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	4	21	0.00570546962304	0.0455077788592
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	4	21	0.00570546962304	0.0455077788592
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	4	21	0.00570546962304	0.0455077788592
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	9	95	0.00630637463768	0.048539974484
R-HSA-382556	ABC-family proteins mediated transport	7	63	0.00656539895024	0.0495330099018
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	6	48	0.00655726341246	0.0495330099018
