# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-72702	Ribosomal scanning and start codon recognition	11	45	0.00124777551173	0.0131634695878
R-HSA-72163	mRNA Splicing - Major Pathway	30	195	0.00133650936562	0.0139736827423
R-HSA-111447	Activation of BAD and translocation to mitochondria 	5	11	0.0014220550724	0.0141120888965
R-HSA-5654704	SHC-mediated cascade:FGFR3	5	11	0.0014220550724	0.0141120888965
R-HSA-2408522	Selenoamino acid metabolism	5	11	0.0014220550724	0.0141120888965
R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	10	39	0.00139217557813	0.0141120888965
R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	5	11	0.0014220550724	0.0141120888965
R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	5	11	0.0014220550724	0.0141120888965
R-HSA-110330	Recognition and association of DNA glycosylase with site containing an affected purine	9	33	0.00149808492575	0.0146188120671
R-HSA-110331	Cleavage of the damaged purine	9	33	0.00149808492575	0.0146188120671
R-HSA-9754189	Germ layer formation at gastrulation	6	16	0.00154719633764	0.0149732802593
R-HSA-9823739	Formation of the anterior neural plate	4	7	0.00157452379843	0.0151128472784
R-HSA-8941858	Regulation of RUNX3 expression and activity	10	40	0.00171493345686	0.0163267242113
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	14	68	0.0017538432077	0.0165625031953
R-HSA-72165	mRNA Splicing - Minor Pathway	11	47	0.00182537635081	0.0171001256544
R-HSA-4551638	SUMOylation of chromatin organization proteins	12	54	0.00185406370562	0.0172310206292
R-HSA-8953750	Transcriptional Regulation by E2F6	9	34	0.00188364386502	0.0173497966437
R-HSA-9013422	RHOBTB1 GTPase cycle	7	22	0.00189647649052	0.0173497966437
R-HSA-9860927	Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells	8	28	0.00197090110732	0.0178908929974
R-HSA-5610783	Degradation of GLI2 by the proteasome	10	41	0.00209564259019	0.0187328051383
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	10	41	0.00209564259019	0.0187328051383
R-HSA-5658442	Regulation of RAS by GAPs	11	48	0.00218676183772	0.019399228121
R-HSA-179812	GRB2 events in EGFR signaling	5	12	0.00226529978175	0.019944857477
R-HSA-1251932	PLCG1 events in ERBB2 signaling	3	4	0.00241606209404	0.0208030052362
R-HSA-3656535	TGFBR1 LBD Mutants in Cancer	3	4	0.00241606209404	0.0208030052362
R-HSA-156842	Eukaryotic Translation Elongation	3	4	0.00241606209404	0.0208030052362
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	8	29	0.00251870976868	0.0212756376021
R-HSA-109704	PI3K Cascade	8	29	0.00251870976868	0.0212756376021
R-HSA-9735869	SARS-CoV-1 modulates host translation machinery	7	23	0.00252545997156	0.0212756376021
R-HSA-1169091	Activation of NF-kappaB in B cells	11	49	0.00260407496595	0.0217812270366
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	17	94	0.00264059863992	0.0219300780663
R-HSA-2179392	EGFR Transactivation by Gastrin	4	8	0.0029339967226	0.0233721779739
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	9	36	0.00289064218863	0.0233721779739
R-HSA-9833482	PKR-mediated signaling	13	64	0.00286627339324	0.0233721779739
R-HSA-190377	FGFR2b ligand binding and activation	4	8	0.0029339967226	0.0233721779739
R-HSA-9839389	TGFBR3 regulates TGF-beta signaling	4	8	0.0029339967226	0.0233721779739
R-HSA-68689	CDC6 association with the ORC:origin complex	4	8	0.0029339967226	0.0233721779739
R-HSA-5467337	APC truncation mutants have impaired AXIN binding	5	13	0.0034212378588	0.026531586309
R-HSA-180336	SHC1 events in EGFR signaling	5	13	0.0034212378588	0.026531586309
