# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-8866911	TFAP2 (AP-2) family regulates transcription of cell cycle factors	2	5	0.00385176606241	0.0337595966646
R-HSA-68949	Orc1 removal from chromatin	5	52	0.00374379852792	0.0337595966646
R-HSA-9832991	Formation of the posterior neural plate	2	5	0.00385176606241	0.0337595966646
R-HSA-1839122	Signaling by activated point mutants of FGFR1	2	5	0.00385176606241	0.0337595966646
R-HSA-9860276	SLC15A4:TASL-dependent IRF5 activation	2	5	0.00385176606241	0.0337595966646
R-HSA-2129379	Molecules associated with elastic fibres	4	36	0.00561027826164	0.0465491287285
R-HSA-8941326	RUNX2 regulates bone development	2	6	0.00570148724359	0.0465491287285
R-HSA-629587	Highly sodium permeable postsynaptic acetylcholine nicotinic receptors	2	6	0.00570148724359	0.0465491287285
R-HSA-1839130	Signaling by activated point mutants of FGFR3	2	6	0.00570148724359	0.0465491287285
R-HSA-8941855	RUNX3 regulates CDKN1A transcription	2	6	0.00570148724359	0.0465491287285
R-HSA-3560801	Defective B3GAT3 causes JDSSDHD	3	19	0.00608767375548	0.0483767141102
R-HSA-9830674	Formation of the ureteric bud	3	19	0.00608767375548	0.0483767141102
