BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
11500	P10600	TGFB3	RecName: Full=Transforming growth factor beta-3 proprotein; Contains: RecName: Full=Latency-associated peptide; Short=LAP; Contains: RecName: Full=Transforming growth factor beta-3; Short=TGF-beta-3; Flags: Precursor;	7043	-
38012	Q99583	MNT	RecName: Full=Max-binding protein MNT; AltName: Full=Class D basic helix-loop-helix protein 3; Short=bHLHd3; AltName: Full=Myc antagonist MNT; AltName: Full=Protein ROX;	4335	-
45077	Q9Y5P6	GMPPB	RecName: Full=Mannose-1-phosphate guanylyltransferase catalytic subunit beta {ECO:0000305}; EC=2.7.7.13 {ECO:0000269|PubMed:33986552}; AltName: Full=GDP-mannose pyrophosphorylase B; AltName: Full=GTP-mannose-1-phosphate guanylyltransferase beta;	29925	-
30379	O94761	RECQL4	RecName: Full=ATP-dependent DNA helicase Q4; EC=5.6.2.4 {ECO:0000269|PubMed:28653661}; AltName: Full=DNA 3'-5' helicase RecQ4 {ECO:0000305}; AltName: Full=DNA helicase, RecQ-like type 4; Short=RecQ4; AltName: Full=RTS; AltName: Full=RecQ protein-like 4;	9401	-
13123	P06400	RB1	RecName: Full=Retinoblastoma-associated protein; AltName: Full=p105-Rb; AltName: Full=p110-RB1 {ECO:0000303|PubMed:8336704}; AltName: Full=pRb; Short=Rb; AltName: Full=pp110;	5925	-
46149	Q68CZ1	RPGRIP1L	RecName: Full=Protein fantom; AltName: Full=Nephrocystin-8; AltName: Full=RPGR-interacting protein 1-like protein; Short=RPGRIP1-like protein;	23322	-
50516	Q69YQ0	SPECC1L	RecName: Full=Cytospin-A; AltName: Full=Renal carcinoma antigen NY-REN-22; AltName: Full=Sperm antigen with calponin homology and coiled-coil domains 1-like; Short=SPECC1-like protein;	23384	-
38793	Q93074	MED12	RecName: Full=Mediator of RNA polymerase II transcription subunit 12; AltName: Full=Activator-recruited cofactor 240 kDa component; Short=ARC240; AltName: Full=CAG repeat protein 45; AltName: Full=Mediator complex subunit 12; AltName: Full=OPA-containing protein; AltName: Full=Thyroid hormone receptor-associated protein complex 230 kDa component; Short=Trap230; AltName: Full=Trinucleotide repeat-containing gene 11 protein;	9968	-
57379	Q5JTC6	AMER1	RecName: Full=APC membrane recruitment protein 1; Short=Amer1; AltName: Full=Protein FAM123B; AltName: Full=Wilms tumor gene on the X chromosome protein;	139285	-
50049	Q5T1V6	DDX59	RecName: Full=Probable ATP-dependent RNA helicase DDX59; EC=3.6.4.13; AltName: Full=DEAD box protein 59; AltName: Full=Zinc finger HIT domain-containing protein 5 {ECO:0000303|PubMed:28561026};	83479	-
27877	P50443	SLC26A2	RecName: Full=Sulfate transporter; AltName: Full=Diastrophic dysplasia protein; AltName: Full=Solute carrier family 26 member 2;	1836	-
33449	P98160	HSPG2	RecName: Full=Basement membrane-specific heparan sulfate proteoglycan core protein; Short=HSPG; AltName: Full=Perlecan; Short=PLC; Contains: RecName: Full=Endorepellin; Contains: RecName: Full=LG3 peptide; Flags: Precursor;	3339	-
54670	Q4AC94	C2CD3	RecName: Full=C2 domain-containing protein 3;	26005	-
7923	P12644	BMP4	RecName: Full=Bone morphogenetic protein 4 {ECO:0000312|HGNC:HGNC:1071}; Short=BMP-4 {ECO:0000250|UniProtKB:P21275}; AltName: Full=Bone morphogenetic protein 2B {ECO:0000250|UniProtKB:P21275}; Short=BMP-2B {ECO:0000312|HGNC:HGNC:1071}; Flags: Precursor;	652	-
9332	Q9C0B1	FTO	RecName: Full=Alpha-ketoglutarate-dependent dioxygenase FTO {ECO:0000305}; AltName: Full=Fat mass and obesity-associated protein {ECO:0000303|PubMed:17496892}; AltName: Full=U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO {ECO:0000305}; EC=1.14.11.- {ECO:0000269|PubMed:30197295}; AltName: Full=U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO {ECO:0000305}; EC=1.14.11.- {ECO:0000269|PubMed:30197295}; AltName: Full=mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO {ECO:0000305}; Short=m6A(m)-demethylase FTO {ECO:0000305}; EC=1.14.11.- {ECO:0000269|PubMed:28002401, ECO:0000269|PubMed:30197295}; AltName: Full=mRNA N(6)-methyladenosine demethylase FTO {ECO:0000305}; EC=1.14.11.53 {ECO:0000269|PubMed:25452335, ECO:0000269|PubMed:26457839, ECO:0000269|PubMed:30197295, ECO:0000305|PubMed:22002720}; AltName: Full=tRNA N1-methyl adenine demethylase FTO {ECO:0000305}; EC=1.14.11.- {ECO:0000269|PubMed:30197295};	79068	-
12171	P25101	EDNRA	RecName: Full=Endothelin-1 receptor {ECO:0000305}; AltName: Full=Endothelin receptor type A {ECO:0000312|HGNC:HGNC:3179}; Short=ET-A; Short=ETA-R; Short=hET-AR; Flags: Precursor;	1909	-
14628	Q13535	ATR	RecName: Full=Serine/threonine-protein kinase ATR; EC=2.7.11.1 {ECO:0000269|PubMed:21705319, ECO:0000269|PubMed:21777809, ECO:0000269|PubMed:27723717, ECO:0000269|PubMed:27723720}; AltName: Full=Ataxia telangiectasia and Rad3-related protein; AltName: Full=FRAP-related protein 1;	545	-
10315	Q99707	MTR	RecName: Full=Methionine synthase {ECO:0000303|PubMed:8968737}; Short=MS; EC=2.1.1.13 {ECO:0000269|PubMed:16769880, ECO:0000269|PubMed:17288554}; AltName: Full=5-methyltetrahydrofolate--homocysteine methyltransferase; AltName: Full=Cobalamin-dependent methionine synthase; AltName: Full=Vitamin-B12 dependent methionine synthase;	4548	-
10392	P62834	RAP1A	RecName: Full=Ras-related protein Rap-1A; EC=3.6.5.2 {ECO:0000250|UniProtKB:P61224}; AltName: Full=C21KG; AltName: Full=G-22K; AltName: Full=GTP-binding protein smg p21A; AltName: Full=Ras-related protein Krev-1; Flags: Precursor;	5906	-
9581	Q6W2J9	BCOR	RecName: Full=BCL-6 corepressor; Short=BCoR;	54880	-
23231	Q6NUS6	TCTN3	RecName: Full=Tectonic-3; Flags: Precursor;	26123	-
7358	Q15475	SIX1	RecName: Full=Homeobox protein SIX1; AltName: Full=Sine oculis homeobox homolog 1;	6495	-
23439	P57082	TBX4	RecName: Full=T-box transcription factor TBX4; Short=T-box protein 4;	9496	-
12183	P41227	NAA10	RecName: Full=N-alpha-acetyltransferase 10; EC=2.3.1.255 {ECO:0000269|PubMed:15496142, ECO:0000269|PubMed:19420222, ECO:0000269|PubMed:25489052, ECO:0000269|PubMed:29754825}; AltName: Full=N-terminal acetyltransferase complex ARD1 subunit homolog A; Short=hARD1 {ECO:0000303|PubMed:19420222}; AltName: Full=NatA catalytic subunit Naa10;	8260	-
10016	P11362	FGFR1	RecName: Full=Fibroblast growth factor receptor 1; Short=FGFR-1; EC=2.7.10.1 {ECO:0000269|PubMed:1379697, ECO:0000269|PubMed:15117958, ECO:0000269|PubMed:18480409, ECO:0000269|PubMed:19224897, ECO:0000269|PubMed:19665973, ECO:0000269|PubMed:20133753, ECO:0000269|PubMed:8622701}; AltName: Full=Basic fibroblast growth factor receptor 1; Short=BFGFR; Short=bFGF-R-1; AltName: Full=Fms-like tyrosine kinase 2; Short=FLT-2; AltName: Full=N-sam; AltName: Full=Proto-oncogene c-Fgr; AltName: CD_antigen=CD331; Flags: Precursor;	2260	-
45781	P15976	GATA1	RecName: Full=Erythroid transcription factor; AltName: Full=Eryf1; AltName: Full=GATA-binding factor 1; Short=GATA-1; Short=GF-1; AltName: Full=NF-E1 DNA-binding protein;	2623	-
21538	O15344	MID1	RecName: Full=E3 ubiquitin-protein ligase Midline-1; EC=2.3.2.27; AltName: Full=Midin; AltName: Full=Putative transcription factor XPRF; AltName: Full=RING finger protein 59; AltName: Full=RING finger protein Midline-1; AltName: Full=RING-type E3 ubiquitin transferase Midline-1 {ECO:0000305}; AltName: Full=Tripartite motif-containing protein 18;	4281	-
30797	P61224	RAP1B	RecName: Full=Ras-related protein Rap-1b; EC=3.6.5.2 {ECO:0000269|PubMed:18309292}; AltName: Full=GTP-binding protein smg p21B; Flags: Precursor;	5908	-
22963	O95455	TGDS	RecName: Full=dTDP-D-glucose 4,6-dehydratase; EC=4.2.1.46;	23483	-
11064	P02708	CHRNA1	RecName: Full=Acetylcholine receptor subunit alpha {ECO:0000305}; Flags: Precursor;	1134	-
8580	P13942	COL11A2	RecName: Full=Collagen alpha-2(XI) chain; Flags: Precursor;	1302	-
28673	Q92766	RREB1	RecName: Full=Ras-responsive element-binding protein 1; Short=RREB-1; AltName: Full=Finger protein in nuclear bodies; AltName: Full=Raf-responsive zinc finger protein LZ321; AltName: Full=Zinc finger motif enhancer-binding protein 1; Short=Zep-1;	6239	-
49890	Q14129	DGCR6	RecName: Full=Protein DGCR6; AltName: Full=DiGeorge syndrome critical region 6;	8214	-
13987	P42677	RPS27	RecName: Full=Small ribosomal subunit protein eS27 {ECO:0000303|PubMed:24524803}; AltName: Full=40S ribosomal protein S27; AltName: Full=Metallopan-stimulin 1; Short=MPS-1;	6232	-
16213	Q96SW2	CRBN	RecName: Full=Protein cereblon;	51185	-
47468	Q99502	EYA1	RecName: Full=Eyes absent homolog 1; EC=3.1.3.16 {ECO:0000269|PubMed:19234442}; EC=3.1.3.48 {ECO:0000269|PubMed:19234442};	2138	-
56382	O00192	ARVCF	RecName: Full=Splicing regulator ARVCF {ECO:0000305}; AltName: Full=Armadillo repeat protein deleted in velo-cardio-facial syndrome {ECO:0000305};	421	-
11979	P41440	SLC19A1	RecName: Full=Reduced folate transporter {ECO:0000305}; Short=FOLT {ECO:0000303|PubMed:7826387}; AltName: Full=Cyclic dinucleotide:anion antiporter SLC19A1 {ECO:0000305|PubMed:31126740, ECO:0000305|PubMed:31511694}; AltName: Full=Folate:anion antiporter SLC19A1 {ECO:0000305|PubMed:10787414, ECO:0000305|PubMed:14609557, ECO:0000305|PubMed:22554803}; AltName: Full=Intestinal folate carrier 1 {ECO:0000303|PubMed:9041240}; Short=IFC-1 {ECO:0000303|PubMed:9041240}; AltName: Full=Placental folate transporter {ECO:0000303|PubMed:7826387}; AltName: Full=Reduced folate carrier protein {ECO:0000303|PubMed:7615551}; Short=RFC {ECO:0000303|PubMed:22554803, ECO:0000303|PubMed:7615551}; Short=hRFC {ECO:0000303|PubMed:16115875}; AltName: Full=Reduced folate transporter 1 {ECO:0000303|PubMed:10787414}; Short=RFT-1 {ECO:0000303|PubMed:10787414}; AltName: Full=Solute carrier family 19 member 1 {ECO:0000305}; Short=hSLC19A1 {ECO:0000303|PubMed:31511694};	6573	-
27023	O15041	SEMA3E	RecName: Full=Semaphorin-3E; Flags: Precursor;	9723	-
38639	O14770	MEIS2	RecName: Full=Homeobox protein Meis2; AltName: Full=Meis1-related protein 1;	4212	-
21147	Q969E8	TSR2	RecName: Full=Pre-rRNA-processing protein TSR2 homolog;	90121	-
8270	Q2M1P5	KIF7	RecName: Full=Kinesin-like protein KIF7;	374654	-
33113	O95427	PIGN	RecName: Full=GPI ethanolamine phosphate transferase 1; EC=2.-.-.-; AltName: Full=MCD4 homolog; AltName: Full=Phosphatidylinositol-glycan biosynthesis class N protein; Short=PIG-N;	23556	-
15063	P61812	TGFB2	RecName: Full=Transforming growth factor beta-2 proprotein; AltName: Full=Cetermin; AltName: Full=Glioblastoma-derived T-cell suppressor factor {ECO:0000303|PubMed:3322813}; Short=G-TSF {ECO:0000303|PubMed:3322813}; Contains: RecName: Full=Latency-associated peptide; Short=LAP; Contains: RecName: Full=Transforming growth factor beta-2; Short=TGF-beta-2; Flags: Precursor;	7042	-
11071	O60934	NBN	RecName: Full=Nibrin {ECO:0000303|PubMed:9590180}; AltName: Full=Cell cycle regulatory protein p95 {ECO:0000303|PubMed:9705271}; AltName: Full=Nijmegen breakage syndrome protein 1 {ECO:0000303|PubMed:9590180}; Short=hNbs1 {ECO:0000303|PubMed:19804756};	4683	-
12750	Q02127	DHODH	RecName: Full=Dihydroorotate dehydrogenase (quinone), mitochondrial; Short=DHOdehase; EC=1.3.5.2 {ECO:0000269|PubMed:8925840}; AltName: Full=Dihydroorotate oxidase; Flags: Precursor;	1723	-
34443	Q9H3D4	TP63	RecName: Full=Tumor protein 63; Short=p63; AltName: Full=Chronic ulcerative stomatitis protein; Short=CUSP; AltName: Full=Keratinocyte transcription factor KET; AltName: Full=Transformation-related protein 63; Short=TP63; AltName: Full=Tumor protein p73-like; Short=p73L; AltName: Full=p40; AltName: Full=p51;	8626	-
9892	P63165	SUMO1	RecName: Full=Small ubiquitin-related modifier 1; Short=SUMO-1; AltName: Full=GAP-modifying protein 1; Short=GMP1; AltName: Full=SMT3 homolog 3; AltName: Full=Sentrin; AltName: Full=Ubiquitin-homology domain protein PIC1; AltName: Full=Ubiquitin-like protein SMT3C; Short=Smt3C; AltName: Full=Ubiquitin-like protein UBL1; Flags: Precursor;	7341	-
42664	P78318	IGBP1	RecName: Full=Immunoglobulin-binding protein 1; AltName: Full=B-cell signal transduction molecule alpha 4; Short=Protein alpha-4; AltName: Full=CD79a-binding protein 1; AltName: Full=Protein phosphatase 2/4/6 regulatory subunit; AltName: Full=Renal carcinoma antigen NY-REN-16;	3476	-
28879	O15160	POLR1C	RecName: Full=DNA-directed RNA polymerases I and III subunit RPAC1; Short=DNA-directed RNA polymerase I subunit C; Short=RNA polymerases I and III subunit AC1; AltName: Full=AC40; AltName: Full=DNA-directed RNA polymerases I and III 40 kDa polypeptide; Short=RPA40; AltName: Full=RPA39; AltName: Full=RPC40;	9533	-
6996	P61353	RPL27	RecName: Full=Large ribosomal subunit protein eL27 {ECO:0000303|PubMed:24524803}; AltName: Full=60S ribosomal protein L27;	6155	-
55631	Q9UPM9	B9D1	RecName: Full=B9 domain-containing protein 1; AltName: Full=MKS1-related protein 1;	27077	-
33530	O00628	PEX7	RecName: Full=Peroxisomal targeting signal 2 receptor {ECO:0000305}; Short=PTS2 receptor {ECO:0000303|PubMed:9090381}; AltName: Full=Peroxin-7 {ECO:0000305};	5191	-
12494	Q9UBM7	DHCR7	RecName: Full=7-dehydrocholesterol reductase {ECO:0000303|PubMed:9683613}; Short=7-DHC reductase; EC=1.3.1.21 {ECO:0000269|PubMed:25637936, ECO:0000269|PubMed:9465114, ECO:0000269|PubMed:9634533}; AltName: Full=Delta7-sterol reductase {ECO:0000303|PubMed:9465114}; AltName: Full=Sterol Delta(7)-reductase; AltName: Full=Sterol reductase SR-2;	1717	-
48634	P05305	EDN1	RecName: Full=Endothelin-1; AltName: Full=Preproendothelin-1; Short=PPET1; Contains: RecName: Full=Endothelin-1; Short=ET-1; Contains: RecName: Full=Big endothelin-1; Flags: Precursor;	1906	-
39968	O60663	LMX1B	RecName: Full=LIM homeobox transcription factor 1-beta; AltName: Full=LIM/homeobox protein 1.2; Short=LMX-1.2; AltName: Full=LIM/homeobox protein LMX1B;	4010	-
49889	Q8WYQ5	DGCR8	RecName: Full=Microprocessor complex subunit DGCR8; AltName: Full=DiGeorge syndrome critical region 8;	54487	-
30627	P98175	RBM10	RecName: Full=RNA-binding protein 10 {ECO:0000305}; AltName: Full=G patch domain-containing protein 9; AltName: Full=RNA-binding motif protein 10; AltName: Full=RNA-binding protein S1-1 {ECO:0000250|UniProtKB:P70501}; Short=S1-1;	8241	-
6978	P62847	RPS24	RecName: Full=Small ribosomal subunit protein eS24 {ECO:0000303|PubMed:24524803}; AltName: Full=40S ribosomal protein S24;	6229	-
23357	Q13428	TCOF1	RecName: Full=Treacle protein; AltName: Full=Treacher Collins syndrome protein;	6949	-
16361	Q9Y617	PSAT1	RecName: Full=Phosphoserine aminotransferase {ECO:0000305}; EC=2.6.1.52 {ECO:0000269|PubMed:36851825, ECO:0000269|PubMed:37627284}; AltName: Full=Phosphohydroxythreonine aminotransferase; Short=PSAT;	29968	-
34706	Q9Y5N6	ORC6	RecName: Full=Origin recognition complex subunit 6;	23594	-
13379	P13631	RARG	RecName: Full=Retinoic acid receptor gamma; Short=RAR-gamma; AltName: Full=Nuclear receptor subfamily 1 group B member 3;	5916	-
26819	Q15427	SF3B4	RecName: Full=Splicing factor 3B subunit 4; AltName: Full=Pre-mRNA-splicing factor SF3b 49 kDa subunit; AltName: Full=Spliceosome-associated protein 49; Short=SAP 49;	10262	-
10503	Q07001	CHRND	RecName: Full=Acetylcholine receptor subunit delta {ECO:0000305}; Flags: Precursor;	1144	-
25577	P48431	SOX2	RecName: Full=Transcription factor SOX-2;	6657	-
9047	Q13951	CBFB	RecName: Full=Core-binding factor subunit beta; Short=CBF-beta; AltName: Full=Polyomavirus enhancer-binding protein 2 beta subunit; Short=PEA2-beta; Short=PEBP2-beta; AltName: Full=SL3-3 enhancer factor 1 subunit beta; AltName: Full=SL3/AKV core-binding factor beta subunit;	865	-
13072	P21802	FGFR2	RecName: Full=Fibroblast growth factor receptor 2; Short=FGFR-2; EC=2.7.10.1 {ECO:0000269|PubMed:16844695, ECO:0000269|PubMed:18056630, ECO:0000269|PubMed:19410646, ECO:0000269|PubMed:21454610}; AltName: Full=K-sam; Short=KGFR; AltName: Full=Keratinocyte growth factor receptor; AltName: CD_antigen=CD332; Flags: Precursor;	2263	-
49549	Q92988	DLX4	RecName: Full=Homeobox protein DLX-4; AltName: Full=Beta protein 1; AltName: Full=Homeobox protein DLX-7; AltName: Full=Homeobox protein DLX-8;	1748	-
35431	Q6X4W1	NSMF	RecName: Full=NMDA receptor synaptonuclear signaling and neuronal migration factor; AltName: Full=Nasal embryonic luteinizing hormone-releasing hormone factor; Short=Nasal embryonic LHRH factor;	26012	-
15960	P01133	EGF	RecName: Full=Pro-epidermal growth factor; Short=EGF; Contains: RecName: Full=Epidermal growth factor; AltName: Full=Urogastrone; Flags: Precursor;	1950	-
55679	O94766	B3GAT3	RecName: Full=Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3; EC=2.4.1.135 {ECO:0000269|PubMed:25893793}; AltName: Full=Beta-1,3-glucuronyltransferase 3; AltName: Full=Glucuronosyltransferase I; Short=GlcAT-I; AltName: Full=UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase; Short=GlcUAT-I;	26229	-
11499	P01137	TGFB1	RecName: Full=Transforming growth factor beta-1 proprotein; Contains: RecName: Full=Latency-associated peptide {ECO:0000305|PubMed:2982829, ECO:0000305|PubMed:3162913, ECO:0000305|PubMed:7737999, ECO:0000305|PubMed:8471846}; Short=LAP; Contains: RecName: Full=Transforming growth factor beta-1 {ECO:0000305|PubMed:2982829, ECO:0000305|PubMed:3162913, ECO:0000305|PubMed:7737999, ECO:0000305|PubMed:8471846}; Short=TGF-beta-1; Flags: Precursor;	7040	-
26402	Q14190	SIM2	RecName: Full=Single-minded homolog 2; AltName: Full=Class E basic helix-loop-helix protein 15; Short=bHLHe15;	6493	-
43165	O43364	HOXA2	RecName: Full=Homeobox protein Hox-A2; AltName: Full=Homeobox protein Hox-1K;	3199	-
14589	Q15223	NECTIN1	RecName: Full=Nectin-1; AltName: Full=Herpes virus entry mediator C; Short=Herpesvirus entry mediator C; Short=HveC; AltName: Full=Herpesvirus Ig-like receptor; Short=HIgR; AltName: Full=Nectin cell adhesion molecule 1 {ECO:0000312|HGNC:HGNC:9706}; AltName: Full=Poliovirus receptor-related protein 1; AltName: CD_antigen=CD111; Flags: Precursor;	5818	-
11968	O75369	FLNB	RecName: Full=Filamin-B; Short=FLN-B; AltName: Full=ABP-278; AltName: Full=ABP-280 homolog; AltName: Full=Actin-binding-like protein; AltName: Full=Beta-filamin; AltName: Full=Filamin homolog 1; Short=Fh1; AltName: Full=Filamin-3; AltName: Full=Thyroid autoantigen; AltName: Full=Truncated actin-binding protein; Short=Truncated ABP;	2317	-
33020	P28069	POU1F1	RecName: Full=Pituitary-specific positive transcription factor 1; Short=PIT-1; AltName: Full=Growth hormone factor 1; Short=GHF-1;	5449	-
