BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
28108	Q13950	RUNX2	RecName: Full=Runt-related transcription factor 2; AltName: Full=Acute myeloid leukemia 3 protein; AltName: Full=Core-binding factor subunit alpha-1; Short=CBF-alpha-1; AltName: Full=Oncogene AML-3; AltName: Full=Osteoblast-specific transcription factor 2; Short=OSF-2; AltName: Full=Polyomavirus enhancer-binding protein 2 alpha A subunit; Short=PEA2-alpha A; Short=PEBP2-alpha A; AltName: Full=SL3-3 enhancer factor 1 alpha A subunit; AltName: Full=SL3/AKV core-binding factor alpha A subunit;	860	-
7081	O60566	BUB1B	RecName: Full=Mitotic checkpoint serine/threonine-protein kinase BUB1 beta; EC=2.7.11.1; AltName: Full=MAD3/BUB1-related protein kinase; Short=hBUBR1; AltName: Full=Mitotic checkpoint kinase MAD3L; AltName: Full=Protein SSK1;	701	-
23474	Q16650	TBR1	RecName: Full=T-box brain protein 1; Short=T-brain-1; Short=TBR-1; AltName: Full=TES-56;	10716	-
6995	P46777	RPL5	RecName: Full=Large ribosomal subunit protein uL18 {ECO:0000303|PubMed:24524803}; AltName: Full=60S ribosomal protein L5;	6125	-
33553	P28328	PEX2	RecName: Full=Peroxisome biogenesis factor 2 {ECO:0000305}; EC=2.3.2.27 {ECO:0000269|PubMed:34903883}; EC=2.3.2.36 {ECO:0000250|UniProtKB:P32800}; AltName: Full=35 kDa peroxisomal membrane protein {ECO:0000303|PubMed:10891359}; AltName: Full=Peroxin-2 {ECO:0000305}; AltName: Full=Peroxisomal membrane protein 3; AltName: Full=Peroxisome assembly factor 1 {ECO:0000303|PubMed:1546315}; Short=PAF-1 {ECO:0000303|PubMed:1546315}; AltName: Full=RING finger protein 72;	5828	-
48515	P98172	EFNB1	RecName: Full=Ephrin-B1; AltName: Full=EFL-3; AltName: Full=ELK ligand; Short=ELK-L; AltName: Full=EPH-related receptor tyrosine kinase ligand 2; Short=LERK-2; Contains: RecName: Full=Ephrin-B1 C-terminal fragment {ECO:0000303|PubMed:16930449}; Short=Ephrin-B1 CTF {ECO:0000303|PubMed:16930449}; Contains: RecName: Full=Ephrin-B1 intracellular domain {ECO:0000303|PubMed:16930449}; Short=Ephrin-B1 ICD {ECO:0000303|PubMed:16930449}; Flags: Precursor;	1947	-
11832	P46937	YAP1	RecName: Full=Transcriptional coactivator YAP1; Short=Yes-associated protein 1 {ECO:0000303|PubMed:7782338}; AltName: Full=Protein yorkie homolog; AltName: Full=Yes-associated protein YAP65 homolog;	10413	-
14665	P22607	FGFR3	RecName: Full=Fibroblast growth factor receptor 3; Short=FGFR-3; EC=2.7.10.1; AltName: CD_antigen=CD333; Flags: Precursor;	2261	-
6993	P61313	RPL15	RecName: Full=Large ribosomal subunit protein eL15 {ECO:0000303|PubMed:24524803}; AltName: Full=60S ribosomal protein L15;	6138	-
9826	P21781	FGF7	RecName: Full=Fibroblast growth factor 7; Short=FGF-7; AltName: Full=Heparin-binding growth factor 7; Short=HBGF-7; AltName: Full=Keratinocyte growth factor; Flags: Precursor;	2252	-
13416	P01106	MYC	RecName: Full=Myc proto-oncogene protein; AltName: Full=Class E basic helix-loop-helix protein 39; Short=bHLHe39; AltName: Full=Proto-oncogene c-Myc; AltName: Full=Transcription factor p64;	4609	-
28382	P14678	SNRPB	RecName: Full=Small nuclear ribonucleoprotein-associated proteins B and B'; Short=snRNP-B; AltName: Full=Sm protein B/B'; Short=Sm-B/B'; Short=SmB/B';	6628	-
15298	O60341	KDM1A	RecName: Full=Lysine-specific histone demethylase 1A {ECO:0000305}; EC=1.14.99.66 {ECO:0000269|PubMed:15620353, ECO:0000269|PubMed:15811342}; AltName: Full=BRAF35-HDAC complex protein BHC110; AltName: Full=Flavin-containing amine oxidase domain-containing protein 2; AltName: Full=[histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A;	23028	-
34729	Q13415	ORC1	RecName: Full=Origin recognition complex subunit 1; AltName: Full=Replication control protein 1;	4998	-
8740	P58215	LOXL3	RecName: Full=Lysyl oxidase homolog 3 {ECO:0000305}; EC=1.4.3.- {ECO:0000269|PubMed:28065600}; EC=1.4.3.13 {ECO:0000269|PubMed:28065600}; AltName: Full=Lysyl oxidase-like protein 3 {ECO:0000303|PubMed:11386757}; Flags: Precursor;	84695	-
25100	Q9C004	SPRY4	RecName: Full=Protein sprouty homolog 4; Short=Spry-4;	81848	-
25103	O43597	SPRY2	RecName: Full=Protein sprouty homolog 2; Short=Spry-2;	10253	-
13558	P16234	PDGFRA	RecName: Full=Platelet-derived growth factor receptor alpha; Short=PDGF-R-alpha; Short=PDGFR-alpha; EC=2.7.10.1; AltName: Full=Alpha platelet-derived growth factor receptor; AltName: Full=Alpha-type platelet-derived growth factor receptor; AltName: Full=CD140 antigen-like family member A; AltName: Full=CD140a antigen; AltName: Full=Platelet-derived growth factor alpha receptor; AltName: Full=Platelet-derived growth factor receptor 2; Short=PDGFR-2; AltName: CD_antigen=CD140a; Flags: Precursor;	5156	-
13319	Q9UMX1	SUFU	RecName: Full=Suppressor of fused homolog {ECO:0000303|PubMed:10559945, ECO:0000303|PubMed:10564661}; Short=SUFUH {ECO:0000303|PubMed:10559945};	51684	-
44611	Q8TE85	GRHL3	RecName: Full=Grainyhead-like protein 3 homolog {ECO:0000312|HGNC:HGNC:25839}; AltName: Full=Sister of mammalian grainyhead; AltName: Full=Transcription factor CP2-like 4;	57822	-
15192	P38919	EIF4A3	RecName: Full=Eukaryotic initiation factor 4A-III; Short=eIF-4A-III; Short=eIF4A-III; EC=3.6.4.13 {ECO:0000269|PubMed:16170325, ECO:0000269|PubMed:17375189, ECO:0000269|PubMed:22961380}; AltName: Full=ATP-dependent RNA helicase DDX48; AltName: Full=ATP-dependent RNA helicase eIF4A-3; AltName: Full=DEAD box protein 48; AltName: Full=Eukaryotic initiation factor 4A-like NUK-34; AltName: Full=Eukaryotic translation initiation factor 4A isoform 3; AltName: Full=Nuclear matrix protein 265; Short=NMP 265; Short=hNMP 265; Contains: RecName: Full=Eukaryotic initiation factor 4A-III, N-terminally processed;	9775	-
44596	Q9Y3R0	GRIP1	RecName: Full=Glutamate receptor-interacting protein 1; Short=GRIP-1;	23426	-
11107	P36897	TGFBR1	RecName: Full=TGF-beta receptor type-1; Short=TGFR-1; EC=2.7.11.30; AltName: Full=Activin A receptor type II-like protein kinase of 53kD; AltName: Full=Activin receptor-like kinase 5; Short=ALK-5; Short=ALK5; AltName: Full=Serine/threonine-protein kinase receptor R4; Short=SKR4; AltName: Full=TGF-beta type I receptor; AltName: Full=Transforming growth factor-beta receptor type I; Short=TGF-beta receptor type I; Short=TbetaR-I; Flags: Precursor;	7046	-
19386	Q9BZH6	WDR11	RecName: Full=WD repeat-containing protein 11; AltName: Full=Bromodomain and WD repeat-containing protein 2; AltName: Full=WD repeat-containing protein 15;	55717	-
43746	P54198	HIRA	RecName: Full=Protein HIRA; AltName: Full=TUP1-like enhancer of split protein 1;	7290	-
34715	O43929	ORC4	RecName: Full=Origin recognition complex subunit 4;	5000	-
57032	P05549	TFAP2A	RecName: Full=Transcription factor AP-2-alpha; Short=AP2-alpha; AltName: Full=AP-2 transcription factor; AltName: Full=Activating enhancer-binding protein 2-alpha; AltName: Full=Activator protein 2; Short=AP-2;	7020	-
32826	Q15147	PLCB4	RecName: Full=1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4 {ECO:0000305}; EC=3.1.4.11 {ECO:0000250|UniProtKB:Q07722}; AltName: Full=Phosphoinositide phospholipase C-beta-4; AltName: Full=Phospholipase C-beta-4; Short=PLC-beta-4;	5332	-
7721	P08754	GNAI3	RecName: Full=Guanine nucleotide-binding protein G(i) subunit alpha-3; AltName: Full=G(i) alpha-3;	2773	-
39172	Q15555	MAPRE2	RecName: Full=Microtubule-associated protein RP/EB family member 2; AltName: Full=APC-binding protein EB2; AltName: Full=End-binding protein 2; Short=EB2;	10982	-
38168	Q9NXB0	MKS1	RecName: Full=Tectonic-like complex member MKS1 {ECO:0000305}; AltName: Full=Meckel syndrome type 1 protein;	54903	-
23466	Q96SF7	TBX15	RecName: Full=T-box transcription factor TBX15; Short=T-box protein 15; AltName: Full=T-box transcription factor TBX14; Short=T-box protein 14;	6913	-
43864	Q9UBX0	HESX1	RecName: Full=Homeobox expressed in ES cells 1; AltName: Full=Homeobox protein ANF; Short=hAnf;	8820	-
52850	Q9P2D1	CHD7	RecName: Full=Chromodomain-helicase-DNA-binding protein 7; Short=CHD-7; EC=3.6.4.12; AltName: Full=ATP-dependent helicase CHD7;	55636	-
51458	O14810	CPLX1	RecName: Full=Complexin-1; AltName: Full=Complexin I; Short=CPX I; AltName: Full=Synaphin-2;	10815	-
7033	P62857	RPS28	RecName: Full=Small ribosomal subunit protein eS28 {ECO:0000303|PubMed:24524803}; AltName: Full=40S ribosomal protein S28;	6234	-
7034	P62854	RPS26	RecName: Full=Small ribosomal subunit protein eS26 {ECO:0000303|PubMed:24524803}; AltName: Full=40S ribosomal protein S26;	6231	-
38616	P50221	MEOX1	RecName: Full=Homeobox protein MOX-1; AltName: Full=Mesenchyme homeobox 1;	4222	-
22391	Q9P0N5	TMEM216	RecName: Full=Transmembrane protein 216;	51259	-
9859	Q9ULV1	FZD4	RecName: Full=Frizzled-4; Short=Fz-4; Short=hFz4; AltName: Full=FzE4; AltName: CD_antigen=CD344; Flags: Precursor;	8322	-
10239	Q96PY6	NEK1	RecName: Full=Serine/threonine-protein kinase Nek1; EC=2.7.11.1 {ECO:0000269|PubMed:20230784}; AltName: Full=Never in mitosis A-related kinase 1; Short=NimA-related protein kinase 1; AltName: Full=Renal carcinoma antigen NY-REN-55;	4750	-
41524	P23352	ANOS1	RecName: Full=Anosmin-1 {ECO:0000303|PubMed:8832397, ECO:0000312|HGNC:HGNC:6211}; AltName: Full=Adhesion molecule-like X-linked; AltName: Full=Kallmann syndrome protein {ECO:0000303|PubMed:1913827}; Flags: Precursor;	3730	-
6970	P62081	RPS7	RecName: Full=Small ribosomal subunit protein eS7 {ECO:0000303|PubMed:24524803}; AltName: Full=40S ribosomal protein S7;	6201	-
13304	Q9UPP1	PHF8	RecName: Full=Histone lysine demethylase PHF8; EC=1.14.11.27 {ECO:0000269|PubMed:19843542, ECO:0000269|PubMed:20023638}; EC=1.14.11.65 {ECO:0000269|PubMed:20208542}; AltName: Full=PHD finger protein 8; AltName: Full=[histone H3]-dimethyl-L-lysine(36) demethylase PHF8 {ECO:0000305}; AltName: Full=[histone H3]-dimethyl-L-lysine(9) demethylase PHF8 {ECO:0000305};	23133	-
8887	P48740	MASP1	RecName: Full=Mannan-binding lectin serine protease 1; EC=3.4.21.-; AltName: Full=Complement factor MASP-3; AltName: Full=Complement-activating component of Ra-reactive factor; AltName: Full=Mannose-binding lectin-associated serine protease 1; Short=MASP-1; AltName: Full=Mannose-binding protein-associated serine protease; AltName: Full=Ra-reactive factor serine protease p100; Short=RaRF; AltName: Full=Serine protease 5; Contains: RecName: Full=Mannan-binding lectin serine protease 1 heavy chain; Contains: RecName: Full=Mannan-binding lectin serine protease 1 light chain; Flags: Precursor;	5648	-
14699	Q06124	PTPN11	RecName: Full=Tyrosine-protein phosphatase non-receptor type 11; EC=3.1.3.48 {ECO:0000269|PubMed:26742426, ECO:0000269|PubMed:28074573}; AltName: Full=Protein-tyrosine phosphatase 1D; Short=PTP-1D; AltName: Full=Protein-tyrosine phosphatase 2C; Short=PTP-2C; AltName: Full=SH-PTP2; Short=SHP-2; Short=Shp2; AltName: Full=SH-PTP3;	5781	-
12656	P54821	PRRX1	RecName: Full=Paired mesoderm homeobox protein 1; AltName: Full=Homeobox protein PHOX1 {ECO:0000303|PubMed:1509260}; AltName: Full=Paired-related homeobox protein 1; Short=PRX-1;	5396	-
11552	Q13635	PTCH1	RecName: Full=Protein patched homolog 1; Short=PTC; Short=PTC1;	5727	-
