gene
2017-03-02 00:00:00
2017-03-04 00:00:00
A4GALT
ABCA1
ABCA2
ABCA3
ABCA8
ABCB4
ABCC1
ABCG1
ABHD14B
ABHD16A
ABI3BP
ABL2
ABLIM1
ABLIM3
ABTB1
AC002480.3
AC007246.3
AC058791.1
AC108142.1
ACAA1
ACADVL
ACBD3
ACCS
ACER2
ACHE
ACOT7
ACOT8
ACOX3
ACP2
ACP5
ACPL2
ACSL1
ACTA1
ACTA2
ACTBL2
ACTC1
ACTG2
ACTN1
ACTN4
ACTRT3
ACYP2
ADAM12
ADAM15
ADAM19
ADAM23
ADAMTS1
ADAMTS12
ADAMTS14
ADAMTS2
ADAMTS5
ADAMTS7
ADAMTSL1
ADAMTSL3
ADAMTSL4
ADAMTSL5
ADAP1
ADCK3
ADCY2
ADCY6
ADCY7
ADIPOR1
ADM2
ADORA2B
ADPRH
ADRA1B
ADRA2A
ADRA2C
AEN
AFAP1
AFF1
AFP
AGAP3
AGRN
AGTRAP
AHCYL2
AHDC1
AHNAK2
AHR
AIG1
AK1
AK3
AK4
"AKAP2,PALM2,PALM2-AKAP2"
AKAP9
AKIP1
AKR1A1
AKR1C3
ALAD
ALDH1A1
ALDH1A3
ALDH1B1
ALDH1L2
ALDH2
ALDH3A1
ALDH3B1
ALG2
ALPK1
ALPK2
ALPK3
ALS2CL
AMIGO1
"AMIGO2,LOC102724147"
AMOTL1
AMPD3
ANGEL1
ANGPT1
ANGPT2
ANGPTL2
ANGPTL4
ANGPTL6
ANGPTL7
ANK1
ANKIB1
ANKRA2
ANKRD1
ANKRD13A
ANKRD24
ANKRD29
ANKRD33B
ANKRD46
ANKRD65
ANO10
ANTXR1
ANTXR2
ANXA1
ANXA11
ANXA3
ANXA4
ANXA6
"ANXA8,LOC100996760"
AP001258.4
AP1S1
AP1S3
AP5Z1
APBA1
APBA2
APBA3
APBB2
APCDD1L
APLP1
APLP2
APMAP
APOBEC3C
APOBEC3F
APOBEC3G
APOE
APOL1
APOL2
APOL3
APOL6
APP
AQP3
ARAP1
ARF4
ARFGAP1
ARFGEF2
ARFRP1
ARHGAP1
ARHGAP10
ARHGAP23
ARHGAP24
ARHGAP27
ARHGAP31
ARHGAP42
"ARHGAP8,PRR5,PRR5-ARHGAP8"
ARHGEF25
ARHGEF28
ARHGEF3
ARHGEF35
ARHGEF37
ARHGEF4
ARID5B
ARL1
ARL15
ARL4A
ARL4D
ARL6IP5
ARL8B
ARMCX1
ARMCX2
ARMCX3
ARMCX6
ARNTL
ARPC2
ARRDC2
ARSA
ARSB
ARSD
ARSI
ARSJ
ASAH1
ASB2
ASCC3
ASS1
ASTN2
ATAD1
ATF3
ATF7IP2
ATG13
ATG14
ATG2A
ATOX1
ATP10D
ATP13A2
ATP13A3
ATP2B4
ATP2C1
ATP6AP1
ATP6AP2
ATP6V0A1
ATP6V0B
ATP6V0C
ATP6V0D1
ATP6V0E1
ATP6V1A
ATP6V1C1
ATP6V1D
ATP6V1E1
ATP6V1F
ATP6V1G1
ATP6V1H
ATP7A
ATP9A
ATPIF1
ATRN
ATXN1
AVEN
AVPI1
B2M
B3GALNT1
B3GALT4
B3GAT3
B3GNT1
B3GNT2
B3GNT7
B3GNT9
B4GALT1
B4GALT7
BACE1
BACE2
BAG3
BAK1
BAMBI
BANK1
BATF2
BAX
BBC3
BBX
BCAM
BCAP31
BCAS3
BCAS4
BCAT1
BCL2L1
BCL2L10
BCL2L13
BCL3
BCL6
BCL9L
BCR
BDNF
BECN1
BEGAIN
BEND7
BEST1
BEST4
BEX2
BEX4
BFSP1
BGN
BHLHE40
BHLHE41
BHMT2
BICC1
BID
BIRC3
BLOC1S2
BLOC1S3
BLOC1S6
BLVRA
BLVRB
BMP1
BMP4
BMPER
BMPR2
BNC1
BNIP3L
BOK
BPGM
BRE
BRI3
BSDC1
BSG
BST1
BST2
BTBD10
BTBD11
BTBD9
BTC
"BTG1,C12ORF79"
BTG2
BTN2A2
BTN3A1
BTN3A3
BTRC
BVES
C10ORF10
